"TIME,""GEO"",""S_ADJ"",""AGE"",""UNIT"",""SEX"",""Value"""
"2008M08,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""7.0"""
"2008M09,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""16,501"""
"2008M09,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""6.9"""
"2008M09,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""16,901"""
"2008M09,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""7.1"""
"2008M10,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""16,987"""
"2008M10,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""7.1"""
"2008M10,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""17,274"""
"2008M10,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""7.2"""
"2008M11,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""17,583"""
"2008M11,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""7.4"""
"2008M11,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""17,740"""
"2008M11,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""7.4"""
"2008M12,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""18,329"""
"2008M12,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""7.7"""
"2008M12,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""18,321"""
"2008M12,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""7.7"""
"2009M01,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""19,941"""
"2009M01,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""8.4"""
"2009M01,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""19,205"""
"2009M01,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""8.0"""
"2009M02,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""21,069"""
"2009M02,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""8.9"""
"2009M02,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""19,952"""
"2009M02,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""8.4"""
"2009M03,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""21,328"""
"2009M03,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.0"""
"2009M03,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""20,579"""
"2009M03,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""8.6"""
"2009M04,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""21,245"""
"2009M04,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""8.9"""
"2009M04,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""20,945"""
"2009M04,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""8.8"""
"2009M05,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""20,941"""
"2009M05,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""8.8"""
"2009M05,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""21,275"""
"2009M05,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""8.9"""
"2009M06,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""20,973"""
"2009M06,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""8.8"""
"2009M06,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""21,458"""
"2009M06,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.0"""
"2009M07,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""21,132"""
"2009M07,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""8.8"""
"2009M07,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""21,729"""
"2009M07,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.1"""
"2009M08,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""21,307"""
"2009M08,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""8.9"""
"2009M08,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""21,945"""
"2009M08,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.2"""
"2009M09,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""21,798"""
"2009M09,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.1"""
"2009M09,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,228"""
"2009M09,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.3"""
"2009M10,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,090"""
"2009M10,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.2"""
"2009M10,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,316"""
"2009M10,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.4"""
"2009M11,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,309"""
"2009M11,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.3"""
"2009M11,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,418"""
"2009M11,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.4"""
"2009M12,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,481"""
"2009M12,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.5"""
"2009M12,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,611"""
"2009M12,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.5"""
"2010M01,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""23,922"""
"2010M01,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""10.0"""
"2010M01,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,938"""
"2010M01,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.6"""
"2010M02,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""24,385"""
"2010M02,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""10.2"""
"2010M02,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""23,098"""
"2010M02,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.7"""
"2010M03,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""23,914"""
"2010M03,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""10.1"""
"2010M03,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""23,157"""
"2010M03,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.7"""
"2010M04,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""23,412"""
"2010M04,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.8"""
"2010M04,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""23,208"""
"2010M04,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.7"""
"2010M05,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,881"""
"2010M05,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.6"""
"2010M05,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""23,152"""
"2010M05,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.7"""
"2010M06,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,337"""
"2010M06,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.4"""
"2010M06,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""23,047"""
"2010M06,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.6"""
"2010M07,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,210"""
"2010M07,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.3"""
"2010M07,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,913"""
"2010M07,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.6"""
"2010M08,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,036"""
"2010M08,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.2"""
"2010M08,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,891"""
"2010M08,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.6"""
"2010M09,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,475"""
"2010M09,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.4"""
"2010M09,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,894"""
"2010M09,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.6"""
"2010M10,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,946"""
"2010M10,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.6"""
"2010M10,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,953"""
"2010M10,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.6"""
"2010M11,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,829"""
"2010M11,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.5"""
"2010M11,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,861"""
"2010M11,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.6"""
"2010M12,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,840"""
"2010M12,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.6"""
"2010M12,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,854"""
"2010M12,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.6"""
"2011M01,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""23,614"""
"2011M01,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.9"""
"2011M01,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,780"""
"2011M01,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.5"""
"2011M02,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""23,645"""
"2011M02,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.9"""
"2011M02,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,650"""
"2011M02,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.5"""
"2011M03,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""23,409"""
"2011M03,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.8"""
"2011M03,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,622"""
"2011M03,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.5"""
"2011M04,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,627"""
"2011M04,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.5"""
"2011M04,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,637"""
"2011M04,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.5"""
"2011M05,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,466"""
"2011M05,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.4"""
"2011M05,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,750"""
"2011M05,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.5"""
"2011M06,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,283"""
"2011M06,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.3"""
"2011M06,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""22,832"""
"2011M06,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.5"""
"2011M07,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,367"""
"2011M07,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.3"""
"2011M07,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""23,070"""
"2011M07,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.6"""
"2011M08,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,591"""
"2011M08,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.4"""
"2011M08,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""23,267"""
"2011M08,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.7"""
"2011M09,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""22,992"""
"2011M09,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.6"""
"2011M09,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""23,536"""
"2011M09,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.8"""
"2011M10,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""23,526"""
"2011M10,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""9.8"""
"2011M10,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""23,758"""
"2011M10,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""9.9"""
"2011M11,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""24,100"""
"2011M11,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""10.0"""
"2011M11,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""24,020"""
"2011M11,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""10.0"""
"2011M12,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""24,198"""
"2011M12,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""10.1"""
